"driverid","raceid","stintnumber","numberoflaps","startlap","tire"
"840","1020","1","7","1","Wet"
"840","1027","1","37","1","C3"
"840","1021","1","16","1","C3"
"841","1027","1","21","1","C3"
"841","1021","1","15","1","C3"
"8","1020","1","3","1","Wet"
"8","1027","1","15","1","C3"
"8","1021","1","29","1","C4"
"9","1020","1","7","1","Wet"
"9","1027","1","21","1","C3"
"9","1021","1","18","1","C3"
"9","1022","1","31","1","C2"
"20","1020","1","2","1","Wet"
"20","1027","1","37","1","C3"
"20","1022","1","15","1","C3"
"154","1020","1","3","1","Wet"
"154","1027","1","37","1","C3"
"154","1021","1","19","1","C4"
"154","1022","1","16","1","C3"
"807","1027","1","18","1","C3"
"807","1021","1","36","1","C3"
"807","1022","1","11","1","C3"
"807","1023","1","29","1","C4"
"815","1021","1","18","1","C3"
"815","1022","1","15","1","C3"
"815","1023","1","28","1","C3"
"817","1020","1","3","1","Wet"
"817","1027","1","50","1","C2"
"817","1021","1","46","1","C2"
"817","1022","1","1","1","C3"
"822","1027","1","36","1","C3"
"822","1021","1","5","1","C3"
"822","1022","1","23","1","C3"
"822","1023","1","27","1","C4"
"825","1020","1","8","1","Wet"
"825","1027","1","28","1","C3"
"825","1021","1","38","1","C3"
"825","1022","1","25","1","C3"
"826","1020","1","3","1","Wet"
"826","1027","1","10","1","C4"
"826","1021","1","21","1","C3"
"826","1022","1","24","1","C2"
"830","1020","1","3","1","Wet"
"830","1027","1","5","1","C3"
"832","1020","1","3","1","Wet"
"832","1027","1","15","1","C4"
"841","1022","1","29","1","C2"
"842","1027","1","9","1","C4"
"842","1022","1","13","1","C3"
"844","1027","1","15","1","C3"
"844","1022","1","21","1","C3"
"844","1023","1","20","1","C4"
"846","1027","1","12","1","C4"
"846","1021","1","28","1","C4"
"846","1022","1","19","1","C3"
"847","1020","1","7","1","Wet"
"847","1027","1","22","1","C3"
"847","1021","1","16","1","C3"
"847","1022","1","30","1","C2"
"848","1020","1","2","1","Wet"
"848","1027","1","14","1","C3"
"848","1021","1","28","1","C3"
"848","1022","1","23","1","C2"
"840","1023","1","15","1","C4"
"840","1025","1","27","1","C3"
"840","1026","1","18","1","C3"
"840","1031","1","20","1","C4"
"841","1023","1","21","1","C4"
"841","1025","1","2","1","C4"
"841","1026","1","18","1","C2"
"8","1023","1","19","1","C3"
"8","1024","1","15","1","C4"
"8","1025","1","27","1","C3"
"8","1026","1","15","1","C2"
"9","1023","1","29","1","C3"
"9","1024","1","21","1","C4"
"9","1025","1","1","1","C3"
"9","1026","1","22","1","C2"
"20","1023","1","6","1","C4"
"20","1025","1","26","1","C4"
"20","1026","1","16","1","C3"
"20","1030","1","12","1","C5"
"154","1023","1","7","1","C4"
"154","1026","1","16","1","C3"
"154","1031","1","20","1","C3"
"807","1025","1","16","1","C4"
"807","1026","1","19","1","C3"
"815","1024","1","13","1","C4"
"815","1025","1","23","1","C4"
"815","1026","1","19","1","C3"
"815","1027","1","20","1","C3"
"815","1030","1","37","1","C4"
"817","1024","1","34","1","C4"
"817","1025","1","1","1","C4"
"817","1026","1","29","1","C2"
"817","1031","1","17","1","C4"
"822","1025","1","28","1","C3"
"822","1026","1","17","1","C3"
"822","1030","1","29","1","C4"
"822","1032","1","34","1","C4"
"825","1024","1","18","1","C4"
"825","1025","1","27","1","C4"
"825","1026","1","17","1","C2"
"825","1031","1","24","1","C3"
"826","1024","1","12","1","C4"
"826","1025","1","27","1","C2"
"826","1026","1","27","1","C3"
"826","1030","1","40","1","C3"
"830","1025","1","28","1","C4"
"830","1026","1","14","1","C3"
"830","1030","1","25","1","C4"
"830","1031","1","11","1","C3"
"830","1032","1","24","1","C4"
"832","1025","1","21","1","C4"
"832","1026","1","26","1","C3"
"832","1030","1","12","1","C5"
"842","1023","1","28","1","C3"
"842","1025","1","26","1","C3"
"842","1026","1","18","1","C3"
"844","1025","1","22","1","C4"
"844","1026","1","3","1","C3"
"844","1030","1","12","1","C4"
"846","1023","1","23","1","C3"
"846","1025","1","20","1","C4"
"846","1026","1","4","1","C3"
"846","1030","1","8","1","C5"
"847","1023","1","23","1","C3"
"847","1024","1","1","1","C4"
"847","1025","1","27","1","C3"
"847","1026","1","25","1","C2"
"847","1031","1","25","1","C3"
"848","1025","1","29","1","C3"
"848","1026","1","15","1","C3"
"848","1030","1","13","1","C4"
"848","1031","1","26","1","C4"
"840","1032","1","33","1","C4"
"844","1035","1","18","1","C3"
"844","1036","1","29","1","C3"
"846","1032","1","39","1","C4"
"846","1035","1","12","1","C3"
"846","1036","1","21","1","C3"
"846","1037","1","11","1","C4"
"847","1032","1","34","1","C4"
"847","1035","1","8","1","C3"
"847","1036","1","19","1","C3"
"848","1032","1","35","1","C4"
"848","1033","1","3","1","Intermediate"
"848","1035","1","6","1","C3"
"848","1036","1","17","1","C3"
"849","1032","1","32","1","C3"
"849","1035","1","9","1","C3"
"849","1036","1","28","1","C2"
"8","1037","1","10","1","C3"
"20","1037","1","11","1","C3"
"154","1037","1","10","1","C3"
"825","1037","1","10","1","C3"
"826","1037","1","11","1","C3"
"841","1037","1","9","1","C3"
"844","1037","1","10","1","C4"
"847","1037","1","9","1","C3"
"849","1037","1","10","1","C3"
"20","1038","1","6","1","C2"
"154","1038","1","22","1","C3"
"815","1038","1","22","1","C4"
"817","1038","1","22","1","C4"
"846","1025","2","33","21","C3"
"846","1026","2","21","5","C2"
"846","1030","2","46","9","C3"
"847","1023","2","29","24","C2"
"847","1024","2","33","2","C3"
"847","1026","2","25","26","C1"
"847","1031","2","24","26","C2"
"848","1025","2","24","30","C4"
"848","1026","2","19","16","C2"
"848","1030","2","42","14","C3"
"848","1031","2","25","27","C2"
"840","1032","2","38","34","C3"
"840","1033","2","32","4","C3"
"840","1035","2","13","19","C2"
"840","1036","2","15","28","C2"
"1","1033","4","4","67","C4"
"807","1020","4","10","30","Intermediate"
"822","1020","4","16","31","Intermediate"
"841","1020","4","19","29","Intermediate"
"842","1020","4","18","29","Intermediate"
"844","1020","4","0","28","C4"
"840","1024","4","17","45","C5"
"1","1029","4","5","67","C3"
"9","1029","4","13","54","C3"
"807","1029","4","18","54","C3"
"830","1029","4","17","55","C3"
"847","1029","4","5","67","C3"
"848","1028","4","16","41","C4"
"841","1033","4","29","41","C2"
"847","1033","4","19","51","C3"
"849","1033","4","8","32","C3"
"1","1020","5","6","48","C4"
"822","1020","5","10","47","C4"
"841","1020","5","17","48","C4"
"842","1020","5","15","47","C4"
"9","1029","5","4","67","C3"
"849","1033","5","13","40","C4"
"840","1020","5","3","42","Intermediate"
"8","1020","5","17","48","C4"
"9","1020","5","11","47","C4"
"20","1020","5","6","42","Intermediate"
"154","1020","5","5","42","Intermediate"
"825","1020","5","3","43","Intermediate"
"826","1020","5","19","46","C4"
"1","1020","6","3","54","C4"
"849","1033","6","13","53","C2"
"840","1020","6","20","45","C4"
"9","1020","6","7","58","C4"
"20","1020","6","17","48","C4"
"154","1020","6","18","47","C4"
"825","1020","6","12","46","C4"
"1","1020","4","18","30","Intermediate"
"9","1010","4","11","45","C4"
"20","1011","4","19","39","C3"
"832","1011","4","13","41","C3"
"842","1012","4","3","54","C4"
"846","1012","4","16","35","C4"
"815","1019","4","5","47","C3"
"840","1020","4","13","29","Intermediate"
"8","1020","4","19","29","Intermediate"
"9","1020","4","15","32","Intermediate"
"20","1020","4","13","29","Intermediate"
"154","1020","4","13","29","Intermediate"
"825","1020","4","13","30","Intermediate"
"826","1020","4","17","29","Intermediate"
"830","1020","4","12","30","Intermediate"
"832","1020","4","18","47","C4"
"847","1020","4","6","42","Intermediate"
"848","1020","4","18","29","Intermediate"
"844","1026","4","5","47","C3"
"840","1033","4","18","53","C2"
"807","1035","4","8","45","C4"
"817","1035","4","16","36","C3"
"822","1033","4","21","50","C2"
"822","1036","4","2","65","C2"
"847","1035","4","12","40","C3"
"822","1038","1","22","1","C4"
"825","1038","1","1","1","C3"
"826","1038","1","22","1","C2"
"830","1038","1","22","1","C4"
"832","1038","1","22","1","C4"
"839","1038","1","22","1","C4"
"849","1038","1","16","1","C3"
"1","1012","1","22","1","C3"
"1","1013","1","13","1","C4"
"1","1014","1","27","1","C3"
"1","1015","1","11","1","C5"
"1","1016","1","28","1","C4"
"1","1017","1","24","1","C3"
"1","1018","1","30","1","C3"
"1","1019","1","20","1","C2"
"1","1020","1","3","1","Wet"
"1","1022","1","22","1","C3"
"1","1023","1","19","1","C4"
"1","1025","1","28","1","C3"
"1","1026","1","21","1","C3"
"1","1027","1","23","1","C3"
"1","1030","1","26","1","C4"
"1","1032","1","27","1","C4"
"1","1033","1","3","1","Intermediate"
"1","1035","1","14","1","C3"
"1","1036","1","23","1","C3"
"1","1037","1","11","1","C3"
"8","1022","1","1","1","C3"
"8","1031","1","24","1","C3"
"9","1014","1","31","1","C2"
"9","1019","1","20","1","C2"
"817","1015","1","11","1","C5"
"817","1023","1","30","1","C4"
"817","1037","1","11","1","C4"
"846","1016","1","8","1","C5"
"8","1018","1","23","1","C4"
"154","1018","1","34","1","C3"
"807","1018","1","26","1","C3"
"815","1018","1","28","1","C3"
"817","1018","1","46","1","C3"
"825","1018","1","11","1","C4"
"826","1018","1","32","1","C3"
"826","1031","1","26","1","C3"
"830","1019","1","13","1","C2"
"830","1023","1","1","1","C3"
"832","1015","1","30","1","C5"
"840","1018","1","25","1","C3"
"841","1018","1","24","1","C4"
"847","1018","1","27","1","C3"
"848","1018","1","35","1","C3"
"1","1021","1","31","1","C3"
"20","1021","1","39","1","C3"
"849","1035","4","5","47","C3"
"830","1020","5","5","42","Intermediate"
"847","1020","5","10","48","C4"
"848","1020","5","18","47","C4"
"830","1020","6","18","47","C4"
"847","1020","6","7","58","C4"
"825","1012","3","22","34","C3"
"825","1013","3","11","40","C4"
"825","1014","3","21","46","C3"
"826","1012","3","5","26","C4"
"826","1014","3","21","46","C2"
"830","1012","3","22","35","C3"
"830","1014","3","23","44","C2"
"849","1033","3","27","5","C3"
"1","1011","3","23","35","C2"
"8","1011","3","24","34","C3"
"9","1010","3","16","29","C4"
"20","1011","3","3","36","C2"
"815","1011","3","24","34","C2"
"822","1011","3","20","38","C3"
"825","1011","3","18","39","C3"
"826","1011","3","18","39","C3"
"830","1011","3","25","33","C2"
"841","1011","3","17","41","C3"
"842","1011","3","18","40","C2"
"844","1011","3","21","37","C2"
"846","1011","3","23","35","C3"
"847","1010","3","14","43","C2"
"848","1011","3","32","26","C2"
"840","1011","3","33","24","C2"
"840","1012","3","11","45","C4"
"841","1012","3","25","31","C3"
"841","1014","3","25","42","C3"
"8","1014","3","21","46","C3"
"9","1011","3","28","28","C2"
"9","1013","3","7","43","C4"
"20","1012","3","21","36","C3"
"20","1014","3","26","41","C2"
"154","1012","3","20","36","C3"
"154","1014","3","20","47","C3"
"807","1011","3","21","33","C2"
"807","1013","3","16","35","C4"
"815","1014","3","21","46","C3"
"817","1014","3","21","46","C2"
"822","1012","3","20","37","C3"
"822","1014","3","21","46","C3"
"822","1015","3","66","13","C3"
"832","1011","3","16","25","C1"
"832","1012","3","19","37","C4"
"832","1014","3","20","47","C3"
"842","1012","3","14","40","C3"
"842","1014","3","20","47","C3"
"842","1015","3","16","63","C5"
"844","1012","3","14","43","C3"
"844","1013","3","4","48","C4"
"844","1014","3","20","47","C2"
"846","1012","3","17","18","C3"
"846","1013","3","12","40","C4"
"847","1011","3","30","27","C2"
"847","1012","3","5","50","C4"
"847","1013","3","11","39","C4"
"847","1014","3","21","45","C2"
"848","1014","3","21","46","C2"
"840","1019","3","13","40","C3"
"841","1017","3","18","35","C3"
"8","1016","3","11","59","C5"
"9","1016","3","29","39","C3"
"20","1017","3","2","52","C4"
"20","1018","3","21","51","C4"
"20","1019","3","13","39","C2"
"815","1019","3","22","25","C3"
"817","1019","3","32","21","C1"
"822","1016","3","3","68","C5"
"822","1019","3","7","46","C3"
"826","1019","3","31","22","C1"
"844","1015","3","0","17","C5"
"844","1019","3","31","22","C1"
"846","1019","3","17","36","C1"
"847","1017","3","18","34","C3"
"840","1020","3","3","26","C3"
"840","1021","3","18","51","C4"
"8","1020","3","2","27","C3"
"8","1027","3","6","53","C3"
"9","1020","3","8","24","Intermediate"
"9","1027","3","9","61","C3"
"20","1020","3","5","24","C4"
"20","1022","3","11","34","C3"
"154","1020","3","2","27","C4"
"807","1022","3","13","32","C3"
"822","1021","3","23","47","C3"
"825","1020","3","8","22","C4"
"826","1020","3","3","26","C4"
"826","1027","3","26","45","C3"
"830","1020","3","4","26","C3"
"832","1020","3","19","28","Intermediate"
"832","1027","3","35","36","C3"
"842","1027","3","21","50","C3"
"844","1027","3","28","44","C2"
"847","1020","3","17","25","Intermediate"
"848","1020","3","1","28","C4"
"1","1020","7","8","57","C4"
"825","1020","7","7","58","C4"
"848","1027","3","27","45","C2"
"841","1025","3","26","28","C3"
"841","1026","3","2","50","C3"
"8","1026","3","15","37","C3"
"9","1023","3","7","45","C3"
"9","1024","3","17","45","C4"
"9","1025","3","26","3","C3"
"9","1026","3","17","34","C2"
"20","1023","3","29","13","C3"
"20","1026","3","21","32","C2"
"20","1030","3","17","39","C4"
"154","1023","3","23","30","C4"
"807","1025","3","24","30","C4"
"815","1026","3","10","42","C3"
"822","1026","3","16","37","C3"
"825","1024","3","5","57","C5"
"825","1026","3","4","48","C3"
"826","1024","3","25","37","C5"
"826","1025","3","24","30","C4"
"830","1032","3","3","69","C4"
"832","1030","3","13","42","C4"
"844","1025","3","23","31","C4"
"844","1026","3","21","26","C3"
"844","1030","3","17","39","C5"
"846","1026","3","26","26","C1"
"848","1026","3","18","35","C3"
"848","1031","3","5","52","C4"
"840","1033","3","17","36","C3"
"840","1035","3","21","32","C2"
"840","1036","3","23","43","C3"
"8","1036","3","21","45","C3"
"20","1033","3","40","30","C2"
"20","1035","3","19","34","C3"
"154","1035","3","13","39","C2"
"154","1036","3","2","63","C3"
"807","1035","3","14","31","C2"
"815","1033","3","34","36","C2"
"817","1033","3","26","44","C3"
"817","1035","3","9","27","C2"
"822","1033","3","16","34","C3"
"822","1035","3","20","33","C2"
"822","1036","3","16","49","C3"
"825","1035","3","23","21","C2"
"840","1033","1","3","1","Intermediate"
"840","1035","1","18","1","C3"
"840","1036","1","27","1","C3"
"841","1032","1","39","1","C3"
"8","1032","1","44","1","C3"
"8","1035","1","26","1","C2"
"8","1036","1","20","1","C2"
"20","1032","1","1","1","C3"
"20","1033","1","3","1","Intermediate"
"20","1035","1","22","1","C2"
"20","1036","1","29","1","C2"
"154","1032","1","37","1","C4"
"154","1035","1","17","1","C3"
"154","1036","1","32","1","C2"
"807","1035","1","15","1","C3"
"815","1032","1","38","1","C4"
"815","1033","1","3","1","Intermediate"
"815","1036","1","29","1","C3"
"815","1037","1","18","1","C4"
"817","1032","1","37","1","C3"
"817","1033","1","4","1","Intermediate"
"817","1035","1","14","1","C3"
"817","1036","1","35","1","C2"
"822","1033","1","2","1","Intermediate"
"822","1035","1","13","1","C3"
"822","1036","1","23","1","C3"
"822","1037","1","11","1","C3"
"825","1032","1","31","1","C4"
"825","1033","1","1","1","C3"
"825","1035","1","9","1","C3"
"825","1036","1","28","1","C3"
"826","1032","1","36","1","C3"
"826","1035","1","19","1","C2"
"826","1036","1","21","1","C3"
"830","1033","1","4","1","Intermediate"
"830","1036","1","21","1","C3"
"830","1037","1","11","1","C3"
"832","1032","1","32","1","C4"
"832","1035","1","22","1","C2"
"832","1036","1","22","1","C3"
"839","1032","1","25","1","C4"
"839","1035","1","22","1","C3"
"839","1036","1","34","1","C2"
"839","1037","1","11","1","C4"
"841","1035","1","7","1","C3"
"841","1036","1","21","1","C2"
"842","1032","1","24","1","C4"
"842","1035","1","7","1","C3"
"842","1036","1","21","1","C3"
"842","1037","1","26","1","C2"
"844","1032","1","1","1","C4"
"840","1022","3","14","31","C3"
"841","1038","3","4","27","C4"
"842","1038","3","27","27","C3"
"847","1038","3","27","27","C3"
"848","1038","3","27","27","C2"
"1","1038","3","2","27","C2"
"8","1038","3","27","27","C4"
"839","1038","3","27","27","C4"
"849","1038","3","27","27","C3"
"1","1012","3","20","37","C3"
"1","1014","3","20","47","C3"
"1","1020","3","1","29","C4"
"1","1023","3","4","50","C4"
"1","1026","3","10","43","C3"
"1","1033","3","29","38","C3"
"1","1035","3","11","42","C2"
"1","1036","3","16","51","C2"
"8","1022","3","29","3","C3"
"8","1031","3","2","52","C4"
"9","1014","3","21","45","C2"
"825","1018","3","7","63","C4"
"826","1031","3","5","52","C4"
"830","1019","3","32","21","C1"
"830","1023","3","26","28","C3"
"1","1021","3","22","49","C3"
"807","1020","3","14","16","Intermediate"
"817","1021","2","23","47","C4"
"817","1022","2","42","2","C2"
"822","1027","2","35","37","C2"
"822","1021","2","41","6","C2"
"822","1022","2","21","24","C2"
"822","1023","2","26","28","C3"
"825","1020","2","13","9","Intermediate"
"825","1027","2","41","29","C2"
"825","1021","2","31","39","C4"
"825","1022","2","18","26","C2"
"826","1020","2","22","4","Intermediate"
"826","1027","2","34","11","C2"
"826","1021","2","47","22","C2"
"826","1022","2","20","25","C3"
"830","1020","2","22","4","Intermediate"
"830","1027","2","66","6","C2"
"832","1020","2","24","4","Intermediate"
"832","1027","2","20","16","C2"
"841","1022","2","13","30","C3"
"842","1027","2","40","10","C2"
"842","1022","2","31","14","C2"
"844","1027","2","28","16","C3"
"844","1022","2","23","22","C2"
"844","1023","2","33","21","C2"
"846","1027","2","36","13","C2"
"846","1021","2","41","29","C2"
"846","1022","2","24","20","C2"
"847","1020","2","17","8","Intermediate"
"847","1027","2","47","23","C2"
"847","1021","2","52","17","C2"
"847","1022","2","13","31","C3"
"848","1020","2","25","3","Intermediate"
"848","1027","2","30","15","C3"
"848","1021","2","41","29","C2"
"848","1022","2","21","24","C3"
"840","1023","2","7","16","C3"
"840","1025","2","26","28","C4"
"840","1026","2","33","19","C2"
"841","1023","2","31","22","C3"
"841","1025","2","25","3","C2"
"841","1026","2","31","19","C1"
"8","1023","2","7","20","C4"
"8","1024","2","34","16","C3"
"8","1025","2","26","28","C4"
"8","1026","2","21","16","C1"
"9","1023","2","15","30","C4"
"9","1024","2","23","22","C3"
"9","1025","2","1","2","C2"
"9","1026","2","11","23","C1"
"20","1023","2","6","7","C2"
"20","1025","2","0","27","C3"
"20","1026","2","15","17","C3"
"20","1030","2","26","13","C3"
"154","1023","2","22","8","C3"
"154","1026","2","35","17","C1"
"154","1031","2","29","21","C2"
"807","1025","2","13","17","C3"
"807","1026","2","32","20","C2"
"815","1024","2","29","14","C3"
"815","1025","2","30","24","C3"
"815","1026","2","22","20","C2"
"815","1027","2","51","21","C2"
"815","1030","2","17","38","C3"
"817","1024","2","27","35","C3"
"817","1025","2","23","2","C3"
"817","1026","2","22","30","C3"
"822","1025","2","25","29","C4"
"822","1026","2","19","18","C2"
"822","1030","2","26","30","C3"
"822","1032","2","37","35","C3"
"825","1024","2","38","19","C3"
"825","1025","2","26","28","C3"
"825","1026","2","30","18","C1"
"826","1024","2","24","13","C3"
"826","1025","2","2","28","C4"
"826","1026","2","24","28","C2"
"826","1030","2","14","41","C4"
"830","1025","2","25","29","C3"
"830","1030","2","30","26","C3"
"830","1032","2","44","25","C3"
"832","1025","2","32","22","C3"
"832","1026","2","26","27","C2"
"832","1030","2","29","13","C3"
"842","1023","2","24","29","C4"
"842","1025","2","27","27","C4"
"842","1026","2","33","19","C2"
"844","1025","2","8","23","C3"
"844","1026","2","22","4","C2"
"844","1030","2","26","13","C3"
"846","1023","2","29","24","C2"
"841","1035","2","26","8","C2"
"841","1036","2","24","22","C2"
"842","1032","2","25","25","C2"
"842","1035","2","16","8","C2"
"842","1036","2","21","22","C2"
"842","1037","2","18","27","C3"
"844","1032","2","3","2","C2"
"844","1035","2","34","19","C2"
"844","1036","2","9","30","C2"
"846","1032","2","32","40","C3"
"846","1035","2","17","13","C2"
"846","1036","2","23","22","C3"
"846","1037","2","33","12","C2"
"847","1032","2","35","35","C3"
"847","1035","2","16","9","C2"
"847","1036","2","16","20","C2"
"848","1032","2","36","36","C3"
"848","1033","2","31","4","C3"
"848","1035","2","24","7","C2"
"848","1036","2","22","18","C1"
"849","1032","2","37","33","C4"
"849","1035","2","17","10","C2"
"849","1036","2","21","29","C2"
"8","1037","2","34","11","C2"
"20","1037","2","33","12","C2"
"154","1037","2","34","11","C2"
"825","1037","2","25","11","C2"
"826","1037","2","33","12","C2"
"844","1037","2","14","11","C2"
"849","1037","2","20","11","C2"
"822","1020","3","4","27","C3"
"830","1021","3","3","68","C4"
"841","1020","3","2","27","C3"
"842","1020","3","2","27","C4"
"844","1020","3","12","16","Intermediate"
"846","1020","3","0","26","C4"
"154","1024","3","26","36","C5"
"807","1024","3","25","37","C4"
"825","1023","3","9","35","C4"
"832","1024","3","26","36","C4"
"840","1024","3","3","42","C5"
"841","1024","3","25","37","C5"
"825","1028","3","12","41","C4"
"840","1028","3","26","30","C4"
"841","1028","3","16","40","C4"
"842","1028","3","1","54","C4"
"847","1028","3","8","47","C4"
"1","1029","3","23","44","C2"
"8","1028","3","15","41","C4"
"8","1029","3","24","48","C3"
"9","1029","3","17","37","C1"
"20","1029","3","16","50","C3"
"154","1029","3","6","66","C3"
"807","1028","3","16","40","C4"
"807","1029","3","9","45","C3"
"815","1029","3","26","46","C3"
"817","1029","3","31","41","C3"
"822","1028","3","21","36","C3"
"822","1029","3","10","42","C2"
"825","1029","3","18","54","C3"
"826","1028","3","16","40","C4"
"826","1029","3","25","47","C3"
"830","1028","3","22","35","C3"
"830","1029","3","10","45","C2"
"840","1029","3","12","54","C3"
"841","1029","3","25","47","C3"
"842","1029","3","24","48","C3"
"844","1028","3","14","43","C4"
"844","1029","3","11","55","C3"
"846","1028","3","14","43","C3"
"846","1029","3","18","54","C2"
"847","1029","3","12","55","C3"
"848","1028","3","20","21","C3"
"848","1029","3","21","51","C3"
"20","1031","3","5","52","C4"
"817","1030","3","12","43","C5"
"832","1031","3","4","53","C3"
"840","1030","3","22","24","C5"
"841","1030","3","28","27","C4"
"841","1031","3","1","56","C4"
"844","1031","3","5","52","C3"
"846","1031","3","5","52","C3"
"849","1031","3","5","52","C4"
"8","1033","3","36","34","C2"
"8","1034","3","4","48","C3"
"822","1034","3","2","51","C3"
"826","1033","3","51","19","C2"
"830","1034","3","2","51","C3"
"830","1035","3","20","33","C2"
"832","1033","3","29","41","C2"
"832","1034","3","1","52","C2"
"839","1033","3","38","32","C2"
"841","1033","3","20","21","C3"
"844","1033","3","49","21","C2"
"846","1033","3","34","36","C2"
"847","1033","3","31","20","C3"
"848","1034","3","22","31","C2"
"826","1035","3","17","36","C3"
"826","1036","3","20","46","C2"
"830","1033","3","34","37","C2"
"830","1036","3","25","42","C2"
"832","1032","3","4","67","C4"
"832","1035","3","18","35","C2"
"832","1036","3","24","42","C2"
"841","1035","3","18","34","C3"
"841","1036","3","20","46","C3"
"842","1032","3","21","50","C4"
"842","1035","3","29","24","C2"
"842","1036","3","23","43","C2"
"846","1035","3","23","30","C2"
"846","1036","3","21","45","C2"
"847","1035","3","15","25","C2"
"847","1036","3","30","36","C2"
"848","1033","3","36","35","C2"
"848","1035","3","22","31","C2"
"848","1036","3","26","40","C2"
"849","1035","3","20","27","C2"
"849","1036","3","15","50","C3"
"825","1037","3","9","36","C4"
"844","1037","3","20","25","C3"
"849","1037","3","14","31","C3"
