"firstname","lastname","stint1tire","stint1lap","stint2tire","stint2lap","stint3tire","stint3lap","stint4tire","stint4lap","stint5tire","stint5lap","stint6tire","stint6lap","stint7tire","stint7lap","stint8tire","stint8lap","stint9tire","stint9lap","stint10tire","stint10lap","raceid","driverid"
"Nico","Hulkenberg","C5","18","C4","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","807"
"Sergio","Perez","C4","26","C3","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","815"
"Daniel","Ricciardo","C5","11","C3","31","C5","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","817"
"Valtteri","Bottas","C4","26","C2","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","822"
"Kevin","Magnussen","C4","20","C3","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","825"
"Carlos","Sainz","C4","26","C2","26","C3","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","832"
"Esteban","Ocon","C3","26","C2","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","839"
"Lance","Stroll","C4","5","C3","18","C5","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","840"
"Antonio","Giovinazzi","C5","8","C3","18","C4","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","841"
"Antonio","Giovinazzi","C3","25","C2","30","C4","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","841"
"Pierre","Gasly","C4","1","C3","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","842"
"Pierre","Gasly","C3","26","C2","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","842"
"Charles","Leclerc","C4","26","C2","25","C3","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","844"
"Lando","Norris","C4","26","C2","25","C3","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","846"
"George","Russell","C3","32","C4","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1030","847"
"Nicholas","Latifi","C3","26","C2","25","C4","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","849"
"Lewis","Hamilton","C2","13","C1","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","1"
"Kimi","Raikkonen","Intermediate","3","C3","30","C2","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","8"
"Kimi","Raikkonen","C2","12","C1","35","C3","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","8"
"Sebastian","Vettel","C3","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","20"
"Romain","Grosjean","C3","1","C2","33",NULL,"35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","154"
"Romain","Grosjean","C2","36","C1","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","154"
"Nico","Hulkenberg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","807"
"Daniel","Ricciardo","C3","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","817"
"Valtteri","Bottas","C2","13","C1","37","C3","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","822"
"Kevin","Magnussen","C2","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","825"
"Daniil","Kvyat","Intermediate","1","C4","17","C2","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","826"
"Daniil","Kvyat","C2","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","826"
"Max","Verstappen","C2","13","C1","37","C3","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","830"
"Max","Verstappen","C2","26","C3","6","C2","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1035","830"
"Carlos","Sainz","Intermediate","3","C3","37","C2","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","832"
"Carlos","Sainz","C3","13","C1","38","C2","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","832"
"Esteban","Ocon","Intermediate","4","C3","27","C2","38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","839"
"Esteban","Ocon","C3","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","839"
"Lance","Stroll","C2","13","C1","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","840"
"Antonio","Giovinazzi","Intermediate","4","C4","16","C3","20","C2","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","841"
"Antonio","Giovinazzi","C2","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","841"
"Pierre","Gasly","Intermediate","3","C4","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","842"
"Pierre","Gasly","C2","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","842"
"Charles","Leclerc","Intermediate","2","C4","18","C2","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","844"
"Charles","Leclerc","C2","13","C1","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","844"
"Lando","Norris","Intermediate","4","C3","31","C2","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","846"
"Lando","Norris","C3","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","846"
"George","Russell","Intermediate","4","C4","15","C3","31","C3","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","847"
"George","Russell","C2","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","847"
"Alexander","Albon","C2","6","C1","24","C2","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","848"
"Nicholas","Latifi","Intermediate","3","C4","1","C3","27","C3","8","C4","13","C2","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1033","849"
"Nicholas","Latifi","C2","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1034","849"
"Lewis","Hamilton","C4","15","C3","43",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","1"
"Lewis","Hamilton","C3","13","C3","21","C2","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","1"
"Kimi","Raikkonen","C4","12","C3","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","8"
"Kimi","Raikkonen","C3","9","C2","24","C3","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","8"
"Robert","Kubica","C2","1","C3","27","C4","16","C4","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","9"
"Sebastian","Vettel","C4","14","C3","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","20"
"Sebastian","Vettel","C3","14","C2","21","C2","3","C3","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","20"
"Romain","Grosjean","C4","15","C3","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","154"
"Nico","Hulkenberg","C4","13","C2","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","807"
"Sergio","Perez","C4","13","C2","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","815"
"Sergio","Perez","C3","8","C2","25","C2","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","815"
"Daniel","Ricciardo","C4","1","C2","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","817"
"Valtteri","Bottas","C4","23","C3","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","822"
"Valtteri","Bottas","C3","12","C2","25","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","822"
"Kevin","Magnussen","C4","14","C3","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","825"
"Kevin","Magnussen","C3","10","C2","28","C3","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","825"
"Daniil","Kvyat","C3","26","C2","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","826"
"Daniil","Kvyat","C3","12","C2","26","C3","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","826"
"Max","Verstappen","C4","25","C3","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","830"
"Max","Verstappen","C3","11","C2","21","C2","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","830"
"Carlos","Sainz","C4","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","832"
"Antonio","Giovinazzi","C3","27","C4","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","841"
"Antonio","Giovinazzi","C3","16","C2","24","C3","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","841"
"Pierre","Gasly","C3","37","C4","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","842"
"Pierre","Gasly","C3","9","C3","30","C2","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","842"
"Charles","Leclerc","C4","28","C2","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","844"
"Charles","Leclerc","C3","13","C2","23","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","844"
"Lando","Norris","C4","15","C2","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","846"
"Lando","Norris","C3","10","C2","24","C3","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","846"
"George","Russell","C3","26","C4","16","C2","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","847"
"Alexander","Albon","C4","14","C3","43",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1010","848"
"Alexander","Albon","C3","9","C3","16","C2","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","848"
"Lance","Stroll","C3","1","C2","22","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","840"
"Lance","Stroll","C3","20","C2","24","C4","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","840"
"Lance","Stroll","C4","10","C3","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","840"
"Lance","Stroll","C2","22","C3","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","840"
"Antonio","Giovinazzi","C4","7","C3","23","C3","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","841"
"Antonio","Giovinazzi","C4","7","C3","43",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","841"
"Antonio","Giovinazzi","C3","6","C1","35","C3","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","841"
"Kimi","Raikkonen","C3","25","C2","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","8"
"Kimi","Raikkonen","C4","6","C3","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","8"
"Kimi","Raikkonen","C2","28","C1","17","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","8"
"Robert","Kubica","C2","11","C3","16","C2","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","9"
"Robert","Kubica","C3","26","C2","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","9"
"Robert","Kubica","C3","23","C3","19","C4","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","9"
"Sebastian","Vettel","C3","18","C2","17","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","20"
"Sebastian","Vettel","C4","11","C3","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","20"
"Sebastian","Vettel","C3","19","C2","21","C2","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","20"
"Sebastian","Vettel","C5","11","C3","67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","20"
"Romain","Grosjean","C3","1","C2","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","154"
"Romain","Grosjean","C4","8","C2","27","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","154"
"Romain","Grosjean","C3","34","C4","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","154"
"Romain","Grosjean","C3","26","C2","20","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","154"
"Nico","Hulkenberg","C3","12","C3","20","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","807"
"Nico","Hulkenberg","C4","11","C2","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","807"
"Nico","Hulkenberg","C4","8","C3","26","C4","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","807"
"Nico","Hulkenberg","C2","35","C3","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","807"
"Sergio","Perez","C3","20","C2","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","815"
"Sergio","Perez","C4","10","C3","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","815"
"Sergio","Perez","C3","24","C2","21","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","815"
"Daniel","Ricciardo","C3","24","C2","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","817"
"Daniel","Ricciardo","C4","18","C2","37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","817"
"Daniel","Ricciardo","C4","10","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","817"
"Daniel","Ricciardo","C3","24","C1","21","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","817"
"Valtteri","Bottas","C3","21","C2","15","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","822"
"Valtteri","Bottas","C4","12","C3","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","822"
"Valtteri","Bottas","C3","26","C2","19","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","822"
"Valtteri","Bottas","C5","11","C4","1","C3","66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","822"
"Kevin","Magnussen","C4","9","C2","24","C3","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","825"
"Kevin","Magnussen","C4","7","C3","32","C4","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","825"
"Kevin","Magnussen","C3","23","C2","22","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","825"
"Daniil","Kvyat","C3","7","C2","18","C4","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","826"
"Daniil","Kvyat","C4","5","C3","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","826"
"Daniil","Kvyat","C3","21","C2","24","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","826"
"Daniil","Kvyat","C5","32","C4","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","826"
"Max","Verstappen","C3","17","C2","17","C3","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","830"
"Max","Verstappen","C4","14","C3","37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","830"
"Max","Verstappen","C3","20","C3","23","C2","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","830"
"Max","Verstappen","C5","11","C3","67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","830"
"Carlos","Sainz","C3","4","C2","20","C1","16","C3","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","832"
"Carlos","Sainz","C3","1","C2","35","C4","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","832"
"Carlos","Sainz","C4","12","C3","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","832"
"Carlos","Sainz","C3","24","C2","22","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","832"
"Pierre","Gasly","C4","19","C2","20","C3","14","C4","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","842"
"Pierre","Gasly","C3","38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","842"
"Pierre","Gasly","C3","22","C2","24","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","842"
"Pierre","Gasly","C5","27","C4","35","C5","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","842"
"Charles","Leclerc","C3","22","C2","20","C3","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","844"
"Charles","Leclerc","C3","34","C4","13","C4","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","844"
"Charles","Leclerc","C3","25","C1","21","C2","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","844"
"Lando","Norris","C3","1","C2","16","C3","17","C4","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","846"
"Lando","Norris","C4","9","C3","30","C4","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","846"
"Lando","Norris","C3","26","C2","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","846"
"George","Russell","C3","12","C2","14","C2","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1011","847"
"George","Russell","C3","22","C2","27","C4","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","847"
"George","Russell","C3","25","C3","13","C4","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","847"
"George","Russell","C2","32","C3","12","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1014","847"
"Alexander","Albon","C4","19","C2","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1012","848"
